Species,state
Uroplatus_phantasticus,1
Homonota_darwinii,1
Homonota_fasciata,1
Phyllodactylus_reissii,1
Phyllodactylus_tuberculosus,1
Phyllodactylus_unctus,1
Phyllopezus_pollicaris,1
Ptyodactylus_guttatus,1
Ptyodactylus_hasselquistii,1
Tarentola_americana,1
Geckonia_chazaliae,1
Tarentola_delalandii,1
Tarentola_deserti,1
Tarentola_mauritanica,1
Thecadactylus_rapicauda,1
Thecadactylus_solimoensis,1
Delma_tincta,0
Paradelma_orientalis,1
Aristelliger_georgeensis,1
Aristelliger_praesignis,1
Coleodactylus_amazonicus,0
Coleodactylus_brachystoma,0
Coleodactylus_septentrionalis,0
Euleptes_europaea,1
Gonatodes_albogularis,0
Gonatodes_annularis,0
Gonatodes_caudiscutatus,0
Gonatodes_ceciliae,0
Gonatodes_concinnatus,0
Gonatodes_daudini,0
Gonatodes_eladioi,0
Gonatodes_hasemani,0
Gonatodes_humeralis,0
Gonatodes_ocellatus,0
Gonatodes_vittatus,0
Lepidoblepharis_xanthostigma,0
Pristurus_carteri,1
Pseudogonatodes_guianensis,0
Quedenfeldtia_trachyblepharus,0
Saurodactylus_mauritanicus,1
Sphaerodactylus_argus,0
Sphaerodactylus_elegans,0
Sphaerodactylus_glaucus,0
Sphaerodactylus_klauberi,0
Sphaerodactylus_nicholsi,0
Sphaerodactylus_nigropunctatus,0
Sphaerodactylus_notatus,0
Sphaerodactylus_roosevelti,1
Sphaerodactylus_torrei,0
Sphaerodactylus_townsendi,0
Teratoscincus_przewalskii,1
Teratoscincus_roborowskii,1
Alopoglossus_atriventris,0
Arthrosaura_kockii,0
Arthrosaura_reticulata,0
Calyptommatus_leiolepis,1
Calyptommatus_nicterus,1
Calyptommatus_sinebrachiatus,1
Cercosaura_argulus,0
Cercosaura_ocellata,0
Cercosaura_schreibersii,0
Colobodactylus_taunayi,0
Colobosaura_modesta,0
Iphisa_elegans,0
Leposoma_percarinatum,0
Micrablepharus_maximiliani,0
Potamites_ecpleopus,0
Neusticurus_rudis,0
Nothobachia_ablephara,0
Procellosaurinus_tetradactylus,0
Proctoporus_bolivianus,0
Ptychoglossus_brevifrontalis,0
Tretioscincus_agilis,0
Vanzosaura_rubricauda,0
Acanthodactylus_erythrurus,0
Adolfus_alleni,0
Algyroides_nigropunctatus,0
Darevskia_praticola,0
Dinarolacerta_mosorensis,0
Eremias_arguta,0
Gastropholis_prasina,0
Holaspis_guentheri,0
Ichnotropis_capensis,0
Lacerta_agilis,0
Latastia_longicaudata,0
Meroles_cuneirostris,0
Nucras_tessellata,1
Ophisops_elegans,0
Pedioplanis_breviceps,0
Podarcis_siculus,0
Psammodromus_hispanicus,0
Scelarcis_perspicillata,0
Takydromus_smaragdinus,0
Timon_lepidus,0
Zootoca_vivipara,0
Ameiva_ameiva,0
Ameiva_undulata,0
Aspidoscelis_burti,0
Aspidoscelis_sexlineatus,0
Aspidoscelis_tigris,0
Dicrodon_guttulatum,0
Kentropyx_pelviceps,0
Teius_teyou,0
Tupinambis_teguixin,0
Basiliscus_basiliscus,0
Basiliscus_plumifrons,0
Basiliscus_vittatus,0
Corytophanes_cristatus,0
Laemanctus_longipes,0
Crotaphytus_collaris,0
Gambelia_wislizenii,0
Anolis_carolinensis,0
Anolis_cristatellus,0
Anolis_cybotes,0
Anolis_distichus,0
Anolis_grahami,0
